Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
3458,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,4277,66,177740666.0,145,111,213,11,810.0,128,G,Major,2023-04-06,60.0,23.0,91.0,0.0,0.0,12.0,3.0,18.995836118940005,False,0.22
4096,AMARGURA,Karol G,1,1133,39,153372011.0,14,71,23,10,176.0,107,F#,Minor,2023-02-24,92.0,55.0,70.0,18.0,0.0,15.0,7.0,18.848376979142987,False,0.01
3103,(It Goes Like) Nanana - Edit,Peggy Gou,1,2259,59,57876440.0,0,0,109,17,0.0,130,G,Minor,2023-06-15,66.94701986754967,66.0,65.0,5.0,0.0,25.0,14.0,17.87382096854883,False,0.11
2427,Another Love,Tom Odell,1,18371,83,1813673666.0,250,122,3394,19,0.0,123,E,Minor,2012-10-15,66.94701986754967,13.0,54.0,70.0,0.0,9.0,4.0,21.318620275543065,True,0.99
3432,Blinding Lights,The Weeknd,1,43899,69,3703895074.0,672,199,3421,20,0.0,171,C#,Major,2019-11-29,50.0,38.0,80.0,0.0,0.0,9.0,7.0,22.032650825845312,True,0.98
3707,Moonlight,Kali Uchis,1,2649,42,256483385.0,67,79,57,1,615.0,137,G,Minor,2023-02-24,66.94701986754967,88.0,72.0,51.0,0.0,17.0,5.0,19.36257444854748,False,0.03
3707,Moonlight,Kali Uchis,1,2649,42,256483385.0,67,79,57,1,615.0,137,G,Minor,2023-02-24,69.0,82.0,76.0,6.0,0.0,6.0,3.0,19.36257444854748,False,0.02
4045,La Bachata,Manuel Turizo,1,6804,45,1214083358.0,139,111,161,15,210.0,125,G,Minor,2022-05-26,84.0,85.0,68.0,58.0,0.0,22.0,10.101545253863135,20.917255191971048,True,0.5
2095,S91,Karol G,1,525,41,16011326.0,34,115,39,6,216.0,128,Unknown,Minor,2023-07-14,79.0,96.0,85.0,27.0,0.0,11.0,10.101545253863135,16.588806967234508,False,0.01
2095,S91,Karol G,1,525,41,16011326.0,34,115,39,6,216.0,128,Unknown,Minor,2023-07-14,86.0,42.0,72.0,59.0,0.0,9.0,19.0,16.588806967234508,False,0.01
3414,cardigan,Taylor Swift,1,7923,29,812019557.0,106,112,142,4,215.0,130,Unknown,Minor,2020-07-24,61.0,51.439293598233995,58.0,55.0,0.0,27.0,4.0,20.51503498404278,True,0.61
3085,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,731,15,111947664.0,27,17,73,4,167.0,130,B,Major,2023-05-04,86.0,59.0,96.0,50.0,1.6225165562913908,9.0,5.0,18.533542043265836,False,0.05
2218,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,5184,41,156338624.0,154,84,102,14,37.0,133,F,Major,2023-02-03,70.0,86.0,81.0,25.0,0.0,25.0,5.0,18.867534885783666,False,0.09
4076,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720434240.0,38,0,4,0,0.0,101,D,Major,2022-06-24,66.0,51.439293598233995,84.0,25.0,0.0,21.0,4.0,20.395364700675124,False,0.06
4076,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720434240.0,38,0,4,0,0.0,101,D,Major,2022-06-24,88.0,72.0,59.0,62.0,0.0,9.0,3.0,20.395364700675124,False,0.06
3985,BESO,"Rauw Alejandro, ROSALï¿½",2,4053,50,357925728.0,82,121,182,12,171.0,95,F,Minor,2023-03-24,77.0,53.0,64.0,74.0,0.0,17.0,14.0,19.695836061948132,False,0.13
